Active,Active
Split by attribute,Split By Attribute
Shopping Cart Items,Shopping Cart Items
Item,Item
Price,Price
Qty,Qty
Subtotal,Subtotal
Continue Shopping,Continue Shopping
Clear Shopping Cart,Clear Shopping Cart
Update Shopping Cart,Update Shopping Cart
Summary,Summary
Total,Total
Order Total,Order Total
Go to Checkout,Go to Checkout
Please select one attribute to proceed !!,Please select one attribute to proceed !!
Something Went Wrong !!!,Something Went Wrong !!!
